pressure_mbar,temperature_K,nh3_ppm,altitude_km
0.20,138.7,,376.7
0.25,143.2,,363.9
0.32,147.3,,350.7
0.40,146.2,,337.4
0.50,143.8,,324.3
0.63,142.2,,311.4
0.79,141.2,,298.6
1.00,141.6,,285.8
1.26,142.5,,273.0
1.58,140.3,,260.2
2.00,137.7,,247.7
2.51,136.9,,235.3
3.16,133.4,,223.1
3.98,129.0,,211.3
5.01,123.5,,199.9
6.31,117.7,,189.0
7.94,112.0,,178.7
10.00,104.8,,168.9
12.59,99.5,,159.8
15.85,95.0,,151.0
19.95,90.5,,142.8
23.99,87.6,,136.4
28.84,85.3,,130.2
34.67,83.9,,124.1
41.69,83.1,,118.1
50.12,82.3,,112.2
60.26,82.0,,106.3
72.44,82.4,,100.4
87.10,82.7,,94.4
100.00,83.4,,90.0
114.82,84.3,,85.5
131.83,85.2,,80.9
151.36,86.3,,76.3
173.78,87.9,,71.6
199.53,89.8,,66.9
229.09,91.4,,62.0
251.19,92.4,,58.7
275.42,93.5,,55.4
302.00,94.8,,52.0
331.13,96.5,,48.6
363.08,98.4,,45.1
398.11,100.7,,41.6
436.52,103.2,,37.9
478.63,106.0,,34.2
501.19,107.5,,32.3
524.81,109.1,,30.3
549.54,110.7,,28.4
575.44,112.4,,26.4
602.56,114.1,,24.4
630.96,115.8,,22.3
660.69,117.6,,20.2
691.83,119.4,,18.1
724.44,121.3,,16.0
758.58,123.2,,13.8
794.33,125.0,,11.6
831.76,127.0,2.6,9.3
870.96,128.9,5.1,7.0
912.01,130.8,7.1,4.7
954.99,132.8,9.5,2.4
1000.00,134.8,10.9,0.0
1047.13,136.8,,-2.4
1096.48,138.9,21.2,-4.9
1148.15,140.9,41.9,-7.4
1202.26,142.9,49.2,-9.9
1258.93,145.0,66.9,-12.5
1298.48,146.2,,-14.1
