latitude_planetographic_deg,u_ms,segment
81.087,33.52,solid_north
80.900,35.38,solid_north
80.714,37.07,solid_north
80.518,38.84,solid_north
80.325,40.63,solid_north
80.096,42.86,solid_north
79.875,45.09,solid_north
79.697,46.88,solid_north
79.484,49.11,solid_north
79.284,51.79,solid_north
79.094,54.91,solid_north
78.874,57.53,solid_north
78.717,58.74,solid_north
78.521,59.74,solid_north
78.300,60.44,solid_north
78.144,60.66,solid_north
77.912,60.54,solid_north
77.696,60.01,solid_north
77.514,59.07,solid_north
77.279,57.09,solid_north
77.070,54.46,solid_north
76.886,51.79,solid_north
76.707,49.11,solid_north
76.497,45.98,solid_north
76.287,42.86,solid_north
76.108,40.18,solid_north
75.899,37.05,solid_north
75.694,33.93,solid_north
75.503,30.80,solid_north
75.317,28.13,solid_north
75.107,25.89,solid_north
74.881,23.66,solid_north
74.709,21.88,solid_north
74.528,20.09,solid_north
74.321,18.33,solid_north
74.087,16.63,solid_north
73.894,15.43,solid_north
73.679,14.37,solid_north
73.445,13.44,solid_north
73.279,12.90,solid_north
73.107,12.43,solid_north
72.931,12.01,solid_north
72.753,11.66,solid_north
72.574,11.37,solid_north
72.305,11.09,solid_north
72.036,10.97,solid_north
71.856,11.01,solid_north
71.677,11.15,solid_north
71.497,11.40,solid_north
71.319,11.78,solid_north
71.141,12.28,solid_north
70.965,12.90,solid_north
70.711,14.00,solid_north
70.471,15.23,solid_north
70.326,16.09,solid_north
70.134,17.42,solid_north
69.923,19.20,solid_north
69.721,21.43,solid_north
69.495,24.55,solid_north
69.298,27.68,solid_north
69.120,30.80,solid_north
68.884,35.27,solid_north
68.706,40.18,solid_north
68.480,45.54,solid_north
68.302,50.89,solid_north
68.096,56.70,solid_north
67.904,62.50,solid_north
67.712,68.30,solid_north
67.489,74.55,solid_north
67.316,80.36,solid_north
67.094,85.71,solid_north
66.896,89.73,solid_north
66.693,94.64,solid_north
66.528,99.55,solid_north
66.333,102.64,solid_north
66.139,104.79,solid_north
65.917,106.33,solid_north
65.706,107.29,solid_north
65.548,107.78,solid_north
65.295,108.24,solid_north
65.038,108.42,solid_north
64.871,108.35,solid_north
64.713,108.13,solid_north
64.503,107.54,solid_north
64.280,106.33,solid_north
64.086,104.36,solid_north
63.875,100.88,solid_north
63.746,94.21,solid_north
63.510,89.06,solid_north
63.337,88.05,solid_north
63.124,87.42,solid_north
62.899,87.17,solid_north
62.683,87.45,solid_north
62.486,88.10,solid_north
62.314,89.10,solid_north
62.105,90.69,solid_north
61.891,92.42,solid_north
61.717,93.75,solid_north
61.534,95.09,solid_north
61.300,96.87,solid_north
61.092,98.64,solid_north
60.892,100.35,solid_north
60.664,101.83,solid_north
60.465,102.66,solid_north
60.318,102.98,solid_north
60.086,103.04,solid_north
59.854,102.66,solid_north
59.710,102.15,solid_north
59.525,101.13,solid_north
59.306,99.08,solid_north
59.101,94.64,solid_north
58.900,88.84,solid_north
58.725,80.80,solid_north
58.494,72.77,solid_north
58.298,67.86,solid_north
58.092,63.39,solid_north
57.911,58.48,solid_north
57.682,53.13,solid_north
57.510,48.66,solid_north
57.314,45.09,solid_north
57.114,41.52,solid_north
56.924,37.50,solid_north
56.724,33.96,solid_north
56.503,31.84,solid_north
56.283,30.24,solid_north
56.069,28.69,solid_north
55.866,26.67,solid_north
55.675,23.65,solid_north
55.479,20.54,solid_north
55.286,18.33,solid_north
55.096,16.61,solid_north
54.872,15.02,solid_north
54.675,13.94,solid_north
54.527,13.31,solid_north
54.286,12.52,solid_north
54.033,11.94,solid_north
53.861,11.73,solid_north
53.692,11.67,solid_north
53.529,11.77,solid_north
53.304,12.26,solid_north
53.105,13.03,solid_north
52.937,14.07,solid_north
52.707,16.12,solid_north
52.489,18.75,solid_north
52.278,23.21,solid_north
52.111,28.13,solid_north
51.910,31.70,solid_north
51.693,35.71,solid_north
51.499,41.52,solid_north
51.302,46.88,solid_north
51.105,52.23,solid_north
50.919,61.16,solid_north
50.692,68.75,solid_north
50.444,77.23,solid_north
50.322,85.71,solid_north
50.082,93.30,solid_north
49.918,100.88,solid_north
49.704,107.08,solid_north
49.516,114.60,solid_north
49.309,119.47,solid_north
49.099,122.12,solid_north
48.874,124.78,solid_north
48.640,130.09,solid_north
48.522,136.73,solid_north
48.302,142.04,solid_north
48.104,146.90,solid_north
47.886,150.43,solid_north
47.718,152.58,solid_north
47.546,154.16,solid_north
47.320,155.47,solid_north
47.114,156.21,solid_north
46.959,156.55,solid_north
46.712,156.81,solid_north
46.463,156.81,solid_north
46.304,156.62,solid_north
46.089,156.06,solid_north
45.852,154.91,solid_north
45.671,153.42,solid_north
45.501,151.31,solid_north
45.301,147.79,solid_north
45.089,143.81,solid_north
44.915,139.82,solid_north
44.708,134.96,solid_north
44.515,130.09,solid_north
44.311,125.22,solid_north
44.098,119.91,solid_north
43.903,114.16,solid_north
43.700,108.41,solid_north
43.524,101.77,solid_north
43.289,94.64,solid_north
43.112,89.29,solid_north
42.872,82.59,solid_north
42.719,75.45,solid_north
42.498,69.20,solid_north
42.304,62.50,solid_north
42.113,55.36,solid_north
41.907,49.11,solid_north
41.726,42.86,solid_north
41.504,36.61,solid_north
41.321,31.70,solid_north
41.092,26.79,solid_north
40.908,22.77,solid_north
40.723,19.20,solid_north
40.530,16.07,solid_north
40.294,13.39,solid_north
40.076,11.16,solid_north
39.878,8.93,solid_north
39.669,6.25,solid_north
39.493,4.02,solid_north
39.323,2.23,solid_north
39.121,0.45,solid_north
38.907,-1.34,solid_north
38.690,-3.07,solid_north
38.518,-4.28,solid_north
38.320,-5.28,solid_north
38.099,-6.03,solid_north
37.939,-6.31,solid_north
37.692,-6.36,solid_north
37.448,-6.03,solid_north
37.293,-5.58,solid_north
37.077,-4.63,solid_north
36.879,-3.49,solid_north
36.709,-2.22,solid_north
36.519,-0.44,solid_north
36.326,1.79,solid_north
36.095,4.46,solid_north
35.875,6.70,solid_north
35.703,8.48,solid_north
35.501,11.61,solid_north
35.314,16.52,solid_north
35.098,20.54,solid_north
34.913,22.77,solid_north
34.698,25.00,solid_north
34.477,27.23,solid_north
34.311,29.02,solid_north
34.109,31.70,solid_north
33.909,35.27,solid_north
33.705,38.84,solid_north
33.502,42.41,solid_north
33.299,46.43,solid_north
33.079,50.89,solid_north
32.892,55.36,solid_north
32.693,60.27,solid_north
32.504,64.73,solid_north
32.303,68.75,solid_north
32.113,72.29,solid_north
31.905,74.73,solid_north
31.697,76.00,solid_north
31.494,76.51,solid_north
31.275,76.61,solid_north
31.127,76.40,solid_north
30.918,75.73,solid_north
30.677,74.38,solid_north
30.481,72.73,solid_north
30.292,70.53,solid_north
30.096,67.42,solid_north
29.924,64.83,solid_north
29.746,63.33,solid_north
29.493,62.33,solid_north
29.267,62.06,solid_north
29.107,62.17,solid_north
28.947,62.50,solid_north
28.719,63.33,solid_north
28.513,64.42,solid_north
28.336,65.67,solid_north
28.092,67.86,solid_north
27.885,70.09,solid_north
27.692,72.32,solid_north
27.501,74.55,solid_north
27.296,77.23,solid_north
27.081,80.36,solid_north
26.899,82.59,solid_north
26.712,84.38,solid_north
26.497,86.16,solid_north
26.282,87.95,solid_north
26.094,89.73,solid_north
25.907,91.96,solid_north
25.711,94.64,solid_north
25.507,97.32,solid_north
25.293,100.00,solid_north
25.078,102.65,solid_north
24.898,104.87,solid_north
24.719,107.08,solid_north
24.510,109.73,solid_north
24.315,112.39,solid_north
24.102,115.49,solid_north
23.892,118.58,solid_north
23.712,121.24,solid_north
23.500,124.34,solid_north
23.279,127.43,solid_north
23.091,130.09,solid_north
22.892,133.19,solid_north
22.699,136.28,solid_north
22.500,139.82,solid_north
22.310,143.36,solid_north
22.105,146.46,solid_north
21.891,150.00,solid_north
21.721,154.42,solid_north
21.513,158.41,solid_north
21.299,161.06,solid_north
21.068,165.93,solid_north
20.928,171.68,solid_north
20.717,174.78,solid_north
20.507,176.55,solid_north
20.271,178.32,solid_north
20.060,180.09,solid_north
19.877,182.30,solid_north
19.703,187.61,solid_north
19.509,192.92,solid_north
19.309,195.13,solid_north
19.107,196.90,solid_north
18.896,198.67,solid_north
18.650,204.91,solid_north
18.554,207.77,solid_north
18.295,215.18,solid_north
18.091,217.41,solid_north
17.903,219.64,solid_north
17.706,222.77,solid_north
17.506,226.34,solid_north
17.310,229.46,solid_north
17.102,232.59,solid_north
16.898,235.27,solid_north
16.724,237.50,solid_north
16.497,241.07,solid_north
16.304,245.54,solid_north
16.101,249.11,solid_north
15.893,251.79,solid_north
15.699,254.46,solid_north
15.495,258.04,solid_north
15.293,262.05,solid_north
15.089,266.07,solid_north
14.900,269.64,solid_north
14.716,272.77,solid_north
14.500,277.23,solid_north
14.288,282.14,solid_north
14.093,285.71,solid_north
13.912,288.39,solid_north
13.705,291.96,solid_north
13.502,297.32,solid_north
13.316,301.79,solid_north
13.120,304.46,solid_north
12.900,307.59,solid_north
12.651,315.62,solid_north
12.484,324.55,solid_north
12.318,330.36,solid_north
12.075,337.05,solid_north
11.904,343.30,solid_north
11.692,349.55,solid_north
11.497,356.25,solid_north
11.304,362.95,solid_north
11.099,370.09,solid_north
10.902,376.79,solid_north
10.689,383.04,solid_north
10.488,396.10,solid_north
10.309,405.91,solid_north
10.107,418.14,solid_north
9.893,427.43,solid_north
9.701,437.17,solid_north
9.513,450.44,solid_north
9.304,464.16,solid_north
9.118,473.01,solid_north
8.913,480.53,solid_north
8.713,484.07,solid_north
8.503,486.25,solid_north
8.332,487.50,solid_north
8.122,488.63,solid_north
7.885,489.58,solid_north
7.716,490.05,solid_north
7.541,490.38,solid_north
7.365,490.54,solid_north
7.101,490.46,solid_north
6.842,490.05,solid_north
6.678,489.58,solid_north
6.524,488.98,solid_north
6.321,487.89,solid_north
6.104,486.25,solid_north
5.903,484.07,solid_north
5.684,481.42,solid_north
5.492,479.20,solid_north
5.317,476.99,solid_north
5.102,473.45,solid_north
4.895,469.47,solid_north
4.692,465.49,solid_north
4.503,461.95,solid_north
4.311,458.85,solid_north
4.093,455.31,solid_north
3.907,452.21,solid_north
3.716,449.56,solid_north
3.513,446.90,solid_north
3.294,443.81,solid_north
3.079,440.71,solid_north
2.907,438.50,solid_north
2.728,436.74,solid_north
2.496,435.01,solid_north
2.289,433.76,solid_north
2.141,432.99,solid_north
1.924,431.98,solid_north
1.664,430.87,solid_north
-11.132,344.15,solid_south
-11.325,341.88,solid_south
-11.512,339.28,solid_south
-11.708,336.16,solid_south
-11.898,333.04,solid_south
-12.098,329.46,solid_south
-12.316,325.45,solid_south
-12.497,322.77,solid_south
-12.705,320.54,solid_south
-12.900,318.75,solid_south
-13.094,316.96,solid_south
-13.341,313.39,solid_south
-13.475,308.48,solid_south
-13.709,304.46,solid_south
-13.906,301.79,solid_south
-14.097,298.21,solid_south
-14.307,294.20,solid_south
-14.501,289.73,solid_south
-14.692,285.27,solid_south
-14.892,281.25,solid_south
-15.100,277.23,solid_south
-15.305,274.11,solid_south
-15.517,270.54,solid_south
-15.685,266.07,solid_south
-15.897,262.05,solid_south
-16.098,258.93,solid_south
-16.279,256.25,solid_south
-16.503,253.12,solid_south
-16.700,248.66,solid_south
-16.883,243.75,solid_south
-17.083,240.18,solid_south
-17.273,237.50,solid_south
-17.497,234.82,solid_south
-17.702,232.14,solid_south
-17.894,227.68,solid_south
-18.082,223.21,solid_south
-18.286,220.54,solid_south
-18.495,218.30,solid_south
-18.696,216.07,solid_south
-18.900,212.95,solid_south
-19.085,209.39,solid_south
-19.304,206.37,solid_south
