latitude_planetographic_deg,u_ms
80.43,34.89
79.79,39.37
78.95,35.90
78.52,46.48
78.42,75.22
75.18,20.58
74.75,14.48
73.89,20.93
73.74,14.16
73.70,8.49
72.72,6.21
72.68,12.71
72.19,2.27
71.71,9.18
71.42,-1.45
70.72,19.66
70.63,7.46
70.45,13.30
70.24,3.69
69.53,17.10
69.21,11.75
69.01,6.80
68.37,28.35
68.30,43.62
68.04,33.31
67.92,15.89
67.18,43.39
65.52,107.81
65.09,115.92
64.59,103.14
64.46,84.63
63.75,67.93
62.83,69.81
62.05,77.54
61.97,83.65
61.19,106.29
60.61,112.20
60.05,107.12
59.77,98.71
56.62,29.40
55.85,39.52
55.78,6.29
54.93,10.13
54.00,0.80
53.20,5.94
53.08,11.13
52.68,15.86
52.32,19.42
52.24,22.93
51.20,21.21
51.17,23.68
51.11,38.12
48.43,132.10
47.74,145.87
47.55,135.87
47.52,155.95
47.40,160.19
43.59,92.89
43.46,51.35
43.44,96.45
43.42,68.84
43.34,64.99
43.32,54.73
42.71,44.01
42.34,27.21
41.87,40.17
41.63,31.16
41.34,12.63
41.07,25.94
40.78,7.54
40.61,-3.35
40.01,3.95
39.59,-0.41
39.03,-5.13
38.90,-9.85
38.62,-15.15
37.60,-9.35
37.59,-18.17
37.55,-3.45
36.88,-13.41
36.57,-5.70
36.24,4.24
36.21,19.32
36.05,13.32
35.90,-8.82
35.57,31.55
35.48,-0.69
35.47,8.61
35.47,16.57
34.93,19.71
34.53,26.65
34.25,47.87
34.04,34.16
34.00,51.66
33.98,43.58
33.78,38.58
32.99,42.91
32.26,51.93
31.69,62.85
31.47,43.92
31.13,58.19
31.09,86.74
29.97,52.06
28.28,60.72
27.75,70.51
27.34,58.86
26.83,42.00
26.42,67.96
26.17,80.78
26.06,71.87
25.86,84.87
25.14,87.88
23.56,80.19
23.43,103.78
23.36,110.93
23.04,72.99
22.83,123.38
22.83,118.21
22.82,85.97
22.70,133.98
22.39,129.14
22.23,150.07
22.12,187.12
22.09,162.76
21.99,94.42
21.47,166.13
21.11,117.62
21.00,151.52
20.93,133.75
20.87,160.12
20.62,168.75
20.60,181.58
19.98,176.43
19.40,204.48
19.25,176.05
18.73,198.92
18.14,203.88
16.88,223.08
16.78,228.53
16.34,233.87
16.28,244.68
16.07,239.07
15.60,244.47
14.95,261.90
14.33,278.67
13.53,354.60
13.36,325.26
12.63,327.81
12.48,354.48
12.30,373.21
12.26,362.33
11.55,377.38
11.51,381.29
11.39,392.49
11.14,396.73
9.36,483.01
9.34,493.59
9.11,399.43
6.92,469.77
6.44,476.79
6.23,456.95
6.01,481.08
6.01,461.57
5.59,470.14
5.32,473.96
5.14,463.95
5.05,478.36
4.75,451.75
4.43,441.90
4.28,416.87
4.12,465.98
3.67,429.40
-7.52,385.44
-8.31,373.13
-8.48,326.51
-8.83,380.37
-9.35,338.83
-9.39,333.06
-9.79,318.04
-9.91,327.55
-10.32,310.80
-10.91,305.66
-12.08,301.52
-12.48,306.43
-15.74,242.83
-16.11,215.62
-16.60,265.79
-16.72,206.18
-16.82,253.48
-17.24,234.09
-17.27,200.87
-17.76,216.24
-17.92,192.43
-18.34,240.26
-18.51,236.51
-18.63,223.47
-18.97,219.11
-18.97,203.48
-19.14,229.10
-19.87,207.76
-19.98,223.79
-20.08,189.47
-20.33,203.01
-20.95,170.79
-21.96,106.31
-26.44,92.12
-27.32,94.69
-29.49,65.47
-30.03,69.39
-30.75,63.03
-31.21,68.06
-31.55,81.73
-32.14,97.50
-32.14,76.19
-32.14,105.69
-32.36,91.42
-33.23,95.77
-33.45,99.56
-34.28,69.16
-34.34,64.79
-34.40,73.48
-35.31,76.42
-35.43,64.70
-35.84,71.07
-35.87,54.88
-36.36,49.64
-39.36,-11.65
-40.06,-6.59
-40.63,-10.87
-40.69,-2.14
-41.44,1.93
-41.71,-8.44
-42.40,-3.45
-42.48,4.99
-42.86,12.97
-43.41,1.27
-43.54,9.23
-43.84,13.13
-44.12,6.12
-44.22,-2.70
-44.93,23.31
-44.95,11.75
-45.12,3.79
-45.18,31.30
-45.31,27.36
-45.65,35.02
-47.70,141.24
-47.96,126.49
-47.96,118.29
-48.04,135.94
-48.33,131.04
-48.60,151.16
-48.81,101.54
-48.82,109.19
-48.84,123.02
-48.88,143.16
-49.12,147.27
-49.22,137.90
-49.63,119.17
-49.64,131.97
-50.20,107.32
-50.54,116.09
-50.68,92.89
-51.13,39.94
-51.41,54.61
-51.55,43.48
-51.75,-7.72
-51.76,46.61
-51.98,59.21
-52.06,-1.79
-52.29,36.00
-52.56,41.09
-52.61,30.56
-52.61,25.39
-52.70,55.61
-53.58,-2.94
-53.69,34.18
-53.82,20.31
-53.99,4.35
-54.22,0.23
-54.41,103.79
-54.48,25.47
-54.84,29.84
-55.00,38.19
-55.02,-14.97
-55.07,-5.49
-55.43,19.83
-55.51,42.14
-55.57,4.30
-55.68,33.64
-56.13,37.87
-57.16,54.27
-57.24,75.48
-57.49,79.90
-57.72,12.15
-57.98,92.68
-58.04,62.30
-59.80,149.85
-59.98,160.25
-60.18,94.93
-60.76,85.69
-60.76,115.22
-62.48,23.64
-62.52,52.76
-62.92,31.00
-62.93,39.97
-63.04,44.74
-63.20,49.92
-63.27,128.78
-63.37,25.34
-64.09,47.13
-64.26,31.12
-65.31,1.80
-65.74,6.82
-66.27,10.86
-66.47,18.07
-66.56,0.56
-67.74,-6.18
-67.75,-11.69
-68.26,3.92
-70.31,-18.61
-71.21,-5.01
-72.64,20.51
